"Marca temporal","Rol o área principal dentro de proyectos de TI","Tiempo laborando en el sector de TI","1.  La disponibilidad de información técnica centralizada facilita la comprensión del estado de los sistemas. ","2. Contar con diferentes tipos de datos (por ejemplo: trazas, métricas y logs) permite detectar problemas con mayor claridad.  ","3. La integración de múltiples fuentes de información mejora la identificación de comportamientos anómalos en los sistemas.  ","4. En los proyectos o empresas donde he trabajado, se han implementado prácticas formales de observabilidad o monitoreo.","5.  He utilizado plataformas o herramientas para el monitoreo o análisis del comportamiento de sistemas o aplicaciones.","6. La automatización basada en datos contribuye a mejorar la estabilidad de la infraestructura tecnológica.","7. La disponibilidad de datos confiables facilita la identificación de áreas de mejora en procesos y servicios tecnológicos. ","8. Los datos generados sobre el comportamiento de los sistemas de TI pueden reutilizarse para otros rubros de interés, como negocio, seguridad o experiencia del cliente. ","9.  Considero que las empresas o proyectos en los que he trabajado cuentan con información suficiente para comprender y gestionar el comportamiento de sus sistemas tecnológicos. ","10. La visibilidad del funcionamiento de los sistemas impacta positivamente en los resultados del negocio. ","11.  En arquitecturas distribuidas, como las basadas en microservicios, es importante contar con prácticas que permitan tener visibilidad del funcionamiento del sistema para identificar errores y prevenir riesgos operativos.","12.  Antes de este cuestionario ya había escuchado el concepto de observabilidad de sistemas como una práctica formal."
"2026/01/09 4:17:49 p.m. GMT-6","Observabilidad","De 1 a 3 años","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo"
"2026/01/09 4:38:56 p.m. GMT-6","Business Analyst","Más de 3 años","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo"
"2026/01/09 4:39:01 p.m. GMT-6","Desarrollo de software","De 1 a 3 años","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo"
"2026/01/09 4:40:05 p.m. GMT-6","Arquitectura / Liderazgo técnico","Más de 3 años","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2026/01/09 4:40:13 p.m. GMT-6","Seguridad","De 1 a 3 años","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo"
"2026/01/09 4:41:37 p.m. GMT-6","Desarrollo de software","De 6 meses a 1 año","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2026/01/09 4:41:48 p.m. GMT-6","Desarrollo de software","Más de 3 años","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo"
"2026/01/09 4:43:08 p.m. GMT-6","Arquitectura / Liderazgo técnico","Más de 3 años","Totalmente de acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Totalmente de acuerdo"
"2026/01/09 4:46:38 p.m. GMT-6","Admin ","Más de 3 años","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2026/01/09 4:51:16 p.m. GMT-6","Desarrollo de software","De 1 a 3 años","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo"
"2026/01/09 4:58:10 p.m. GMT-6","Desarrollo de software","De 6 meses a 1 año","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo"
"2026/01/09 5:18:53 p.m. GMT-6","Desarrollo de software","De 1 a 3 años","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2026/01/09 5:26:45 p.m. GMT-6","Business Intelligence / Data Analytics","De 6 meses a 1 año","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo"
"2026/01/09 5:37:35 p.m. GMT-6","Operativo / Soporte","Menos de 6 meses","De acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo"
"2026/01/09 5:39:44 p.m. GMT-6","Operativo / Soporte","De 6 meses a 1 año","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2026/01/09 5:47:24 p.m. GMT-6","Operativo / Soporte","De 6 meses a 1 año","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
